Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Hit
0.873,0.833,1,-5.511,1,0.189,0.198,0,0.237,0.927,112.001,1
0.909,0.517,4,-11.018,1,0.165,0.00834,0,0.142,0.539,125.048,1
0.822,0.847,10,-6.729,0,0.0916,0.0862,0,0.0452,0.667,107.906,1
0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76E-06,0.156,0.306,148.949,1
0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,1
0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,1
0.688,0.94,1,-4.759,1,0.0843,0.24,0,0.08,0.551,123.906,1
0.628,0.749,4,-5.18,1,0.03,0.0569,0.00204,0.134,0.31,129.2,1
0.705,0.7,0,-7.38,1,0.0295,0.0192,0,0.0755,0.765,122.841,1
0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98,1
0.736,0.705,7,-6.231,1,0.24,0.0579,0,0.321,0.557,86.404,1
0.738,0.84,10,-7.995,0,0.0606,0.00437,0.00629,0.0807,0.862,107.755,1
0.736,0.834,1,-3.052,0,0.0969,0.077,0,0.407,0.234,100.979,1
0.635,0.841,1,-6.369,0,0.15,0.263,0,0.163,0.915,93.051,1
0.739,0.947,11,-1.915,0,0.0412,0.00947,2.99E-05,0.326,0.763,88.009,1
0.587,0.88,4,-5.725,1,0.0324,0.0784,0,0.182,0.778,129.222,1
0.815,0.797,2,-6.304,1,0.186,0.0557,0,0.641,0.65,96.006,1
0.627,0.716,2,-7.175,1,0.0352,0.127,0,0.0344,0.734,101.99,1
0.601,0.485,2,-11.956,1,0.0337,0.298,0.000217,0.297,0.437,132.892,1
0.831,0.735,0,-6.254,0,0.0384,0.00397,0.0205,0.123,0.97,122.979,1
0.53,0.563,3,-10.407,1,0.0348,0.217,2.14E-05,0.113,0.64,170.292,1
0.639,0.57,5,-6.714,0,0.0382,0.0198,0.000565,0.215,0.458,79.993,1
0.708,0.728,7,-7.039,1,0.0298,0.011,2.26E-05,0.0556,0.704,119.881,1
0.804,0.322,1,-10.001,1,0.0344,0.354,0,0.151,0.31,115.17,1
0.935,0.608,1,-7.236,0,0.085,0.00155,0,0.342,0.0664,101.992,1
0.674,0.529,0,-6.188,1,0.025,0.307,2.23E-06,0.0725,0.601,89.913,1
0.407,0.627,10,-6.769,1,0.03,0.112,0.000266,0.13,0.438,187.676,1
0.69,0.871,1,-5.484,0,0.0329,0.0359,0.000843,0.0347,0.561,121.984,1
0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,1
0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,1
0.853,0.709,7,-5.607,1,0.283,0.00276,0,0.353,0.315,170.044,1
0.581,0.607,4,-8.458,1,0.028,0.189,1.60E-06,0.0882,0.213,102.03,1
0.586,0.527,8,-7.17,1,0.0306,0.252,0,0.119,0.0717,115.989,1
